Inventory Item Details;;;;;;;;;;;;
شركة الكوب الاول;;;;;;;;;;;;
For the period 1 January 2025 to 31 December 2025;;;;;;;;;;;;
;;;;;;;;;;;;
Date;Source;Reference;Contact;Description;Total;Unit Cost Price;Unit Sale Price;Value Movement;QoH Movement;Profit per Item;Revenue Account;Inventory Account
25 يناير 2025;Payable Credit Note;MP 2321;سند صرف قهوه محموصه فرع التخصصي;Rosted Beanes Burundi Natural 4 كيس;(35.00);35.00;35.00;(35.00);(1.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
25 يناير 2025;Payable Credit Note;MP 2317;سند صرف قهوه محموصه فرع حطين;Rosted Beanes Burundi Natural;(525.00);35.00;35.00;(525.00);(15.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
26 يناير 2025;Payable Credit Note;MP 2324;سند صرف قهوه محموصه فرع واو;Rosted Beanes Burundi Natural;(175.00);35.00;35.00;(175.00);(5.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
28 يناير 2025;Payable Invoice;7202;تحميص وارد لمستودع البن المحمص;Rosted Beanes Burundi Natural;7,227.51;35.09;0.00;7,227.51;206.0000;0.00;;636 - مخزون البن المحمص
28 يناير 2025;Receivable Invoice;INV-3098;مؤسسة مكيث لتقديم المشروبات;Rosted Beanes Burundi Natural;(5,180.00);35.03;74.00;(2,451.88);(70.0000);38.97;202 - مبيعات القهوة المحمصه;636 - مخزون البن المحمص
29 يناير 2025;Payable Credit Note;MP 2328;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural;(525.00);35.00;35.00;(525.00);(15.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
29 يناير 2025;Payable Credit Note;MP 2328;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural 4 كيس;(35.00);35.00;35.00;(35.00);(1.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
29 يناير 2025;Payable Credit Note;MP 2330;سند صرف قهوه محموصه فرع واو;Rosted Beanes Burundi Natural;(175.00);35.00;35.00;(175.00);(5.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
01 فبراير 2025;Payable Credit Note;MP 2333;سند صرف قهوه محموصه فرع رفا;Rosted Beanes Burundi Natural;(700.00);35.00;35.00;(700.00);(20.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
01 فبراير 2025;Payable Credit Note;MP 2335;سند صرف قهوه محموصه فرع حطين;Rosted Beanes Burundi Natural;(770.00);35.00;35.00;(770.00);(22.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
03 فبراير 2025;Payable Credit Note;MP 2337;سند صرف قهوه محموصه فرع التخصصي;Rosted Beanes Burundi Natural;(525.00);35.00;35.00;(525.00);(15.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
03 فبراير 2025;Payable Credit Note;MP 2337;سند صرف قهوه محموصه فرع التخصصي;Rosted Beanes Burundi Natural 3 كيس;(26.25);35.00;35.00;(26.25);(0.7500);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
03 فبراير 2025;Payable Credit Note;MP 2336;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural;(700.00);35.00;35.00;(700.00);(20.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
03 فبراير 2025;Payable Credit Note;MP 2336;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural 4 كيس;(35.00);35.00;35.00;(35.00);(1.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
05 فبراير 2025;Payable Credit Note;MP 2342;سند صرف قهوه محموصه فرع واو;Rosted Beanes Burundi Natural;(350.00);35.00;35.00;(350.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
05 فبراير 2025;Payable Credit Note;MP 2341;سند صرف قهوه محموصه فرع رفا;Rosted Beanes Burundi Natural;(700.00);35.00;35.00;(700.00);(20.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
08 فبراير 2025;Payable Credit Note;MP 2343;سند صرف قهوه محموصه فرع حطين;Rosted Beanes Burundi Natural;(700.00);35.00;35.00;(700.00);(20.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
10 فبراير 2025;Payable Credit Note;MP 2345;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural;(350.00);35.00;35.00;(350.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
11 فبراير 2025;Payable Credit Note;MP 2347;سند صرف قهوه محموصه فرع واو;Rosted Beanes Burundi Natural;(350.00);35.00;35.00;(350.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
12 فبراير 2025;Payable Invoice;7203;تحميص وارد لمستودع البن المحمص;Rosted Beanes Burundi Natural;7,198.01;34.61;0.00;7,198.01;208.0000;0.00;;636 - مخزون البن المحمص
13 فبراير 2025;Receivable Invoice;INV-3190;مؤسسة مكيث لتقديم المشروبات;Rosted Beanes Burundi Natural;(2,220.00);34.83;74.00;(1,045.01);(30.0000);39.17;202 - مبيعات القهوة المحمصه;636 - مخزون البن المحمص
15 فبراير 2025;Payable Credit Note;MP 2351;سند صرف قهوه محموصه فرع التخصصي;Rosted Beanes Burundi Natural;(350.00);35.00;35.00;(350.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
15 فبراير 2025;Payable Credit Note;MP 2356;سند صرف قهوه محموصه فرع واو;Rosted Beanes Burundi Natural 4 كيس;(35.00);35.00;35.00;(35.00);(1.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
15 فبراير 2025;Payable Credit Note;MP 2354;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural;(1,050.00);35.00;35.00;(1,050.00);(30.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
15 فبراير 2025;Payable Credit Note;MP 2352;سند صرف قهوه محموصه فرع التخصصي;Rosted Beanes Burundi Natural 4 كيس;(35.00);35.00;35.00;(35.00);(1.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
16 فبراير 2025;Payable Credit Note;MP 2359;سند صرف قهوه محموصه فرع حطين;Rosted Beanes Burundi Natural;(1,050.00);35.00;35.00;(1,050.00);(30.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
19 فبراير 2025;Payable Credit Note;MP 2358;سند صرف قهوه محموصه فرع رفا;Rosted Beanes Burundi Natural;(350.00);35.00;35.00;(350.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
20 فبراير 2025;Payable Credit Note;MP 2362;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural;(700.00);35.00;35.00;(700.00);(20.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
23 فبراير 2025;Payable Credit Note;MP 2369;سند صرف قهوه محموصه فرع التخصصي;Rosted Beanes Burundi Natural 4 كس;(35.00);35.00;35.00;(35.00);(1.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
23 فبراير 2025;Payable Credit Note;MP 2368;سند صرف قهوه محموصه فرع حطين;Rosted Beanes Burundi Natural;(175.00);35.00;35.00;(175.00);(5.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
23 فبراير 2025;Payable Credit Note;MP 2366;سند صرف قهوه محموصه فرع حطين;Rosted Beanes Burundi Natural;(700.00);35.00;35.00;(700.00);(20.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
25 فبراير 2025;Payable Credit Note;MP 2371;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural;(700.00);35.00;35.00;(700.00);(20.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
25 فبراير 2025;Payable Credit Note;MP 2371;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural 4 كيس;(35.00);35.00;35.00;(35.00);(1.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
25 فبراير 2025;Payable Credit Note;MP 2374;سند صرف قهوه محموصه فرع واو;Rosted Beanes Burundi Natural;(175.00);35.00;35.00;(175.00);(5.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
25 فبراير 2025;Payable Credit Note;MP 2374;سند صرف قهوه محموصه فرع واو;Rosted Beanes Burundi Natural 1 كيس;(8.75);35.00;35.00;(8.75);(0.2500);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
26 فبراير 2025;Payable Invoice;7205;تحميص وارد لمستودع البن المحمص;Rosted Beanes Burundi Natural;1,799.50;35.28;0.00;1,799.50;51.0000;0.00;;636 - مخزون البن المحمص
26 فبراير 2025;Payable Credit Note;MP 2375;سند صرف قهوه محموصه فرع التخصصي;Rosted Beanes Burundi Natural;(175.00);35.00;35.00;(175.00);(5.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
28 فبراير 2025;Payable Credit Note;MP 2377;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural;(1,400.00);35.00;35.00;(1,400.00);(40.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
28 فبراير 2025;Payable Credit Note;MP 2377;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural 4 كيس;(35.00);35.00;35.00;(35.00);(1.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
28 فبراير 2025;Receivable Invoice;INV-3412;موقع سلة Salla website;Rosted Beanes Burundi Natural;(558.35);34.64;85.90;(225.18);(6.5000);51.26;203 - مبيعات المتجر الكترونى موقع سلة;636 - مخزون البن المحمص
01 مارس 2025;Receivable Invoice;INV-3285;مؤسسة مكيث لتقديم المشروبات;Rosted Beanes Burundi Natural;(3,700.00);34.82;74.00;(1,741.09);(50.0000);39.18;202 - مبيعات القهوة المحمصه;636 - مخزون البن المحمص
03 مارس 2025;Payable Credit Note;MP 2381;سند صرف قهوه محموصه فرع رفا;Rosted Beanes Burundi Natural;(700.00);35.00;35.00;(700.00);(20.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
03 مارس 2025;Payable Credit Note;MP 2380;سند صرف قهوه محموصه فرع حطين;Rosted Beanes Burundi Natural;(1,120.00);35.00;35.00;(1,120.00);(32.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
03 مارس 2025;Payable Credit Note;MP 2383;سند صرف قهوه محموصه فرع واو;Rosted Beanes Burundi Natural;(175.00);35.00;35.00;(175.00);(5.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
11 مارس 2025;Payable Credit Note;MP 2390;سند صرف قهوه محموصه فرع رفا;Rosted Beanes Burundi Natural;(350.00);35.00;35.00;(350.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
13 مارس 2025;Payable Invoice;7206;تحميص وارد لمستودع البن المحمص;Rosted Beanes Burundi Natural;10,767.51;34.85;0.00;10,767.51;309.0000;0.00;;636 - مخزون البن المحمص
13 مارس 2025;Payable Credit Note;MP 2391;سند صرف قهوه محموصه فرع التخصصي;Rosted Beanes Burundi Natural;(350.00);35.00;35.00;(350.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
15 مارس 2025;Payable Credit Note;MP 2397;سند صرف قهوه محموصه فرع واو;Rosted Beanes Burundi Natural;(175.00);35.00;35.00;(175.00);(5.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
15 مارس 2025;Receivable Invoice;INV-3365;مؤسسة مكيث لتقديم المشروبات;Rosted Beanes Burundi Natural;(3,700.00);34.79;74.00;(1,739.54);(50.0000);39.21;202 - مبيعات القهوة المحمصه;636 - مخزون البن المحمص
15 مارس 2025;Payable Credit Note;MP 2394;سند صرف قهوه محموصه فرع حطين;Rosted Beanes Burundi Natural;(700.00);35.00;35.00;(700.00);(20.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
18 مارس 2025;Payable Credit Note;MP 2398;سند صرف قهوه محموصه فرع رفا;Rosted Beanes Burundi Natural;(350.00);35.00;35.00;(350.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
19 مارس 2025;Payable Credit Note;MP 2400;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural;(700.00);35.00;35.00;(700.00);(20.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
20 مارس 2025;Payable Credit Note;MP 2401;سند صرف قهوه محموصه فرع واو;Rosted Beanes Burundi Natural;(175.00);35.00;35.00;(175.00);(5.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
23 مارس 2025;Payable Credit Note;MP 2405;سند صرف قهوه محموصه فرع حطين;Rosted Beanes Burundi Natural;(525.00);35.00;35.00;(525.00);(15.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
28 مارس 2025;Payable Credit Note;MP 2411;سند صرف قهوه محموصه فرع حطين;Rosted Beanes Burundi Natural;(245.00);35.00;35.00;(245.00);(7.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
28 مارس 2025;Receivable Invoice;INV-3430;شركة زهى الفندقية;Rosted Beanes Burundi Natural;(980.00);34.74;98.00;(347.40);(10.0000);63.26;202 - مبيعات القهوة المحمصه;636 - مخزون البن المحمص
30 مارس 2025;Adjustment;Quantity Increase;;جرد 29/3;656.25;35.00;0.00;656.25;18.7500;0.00;;636 - مخزون البن المحمص
31 مارس 2025;Payable Credit Note;MP 2415;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural;(700.00);35.00;35.00;(700.00);(20.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
31 مارس 2025;Payable Credit Note;MP 2416;سند صرف قهوه محموصه فرع واو;Rosted Beanes Burundi Natural;(175.00);35.00;35.00;(175.00);(5.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
05 أبريل 2025;Payable Credit Note;MP 2420;سند صرف قهوه محموصه فرع رفا;Rosted Beanes Burundi Natural;(350.00);35.00;35.00;(350.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
05 أبريل 2025;Payable Credit Note;MP 2419;سند صرف قهوه محموصه فرع واو;Rosted Beanes Burundi Natural;(175.00);35.00;35.00;(175.00);(5.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
05 أبريل 2025;Payable Credit Note;MP 2417;سند صرف قهوه محموصه فرع حطين;Rosted Beanes Burundi Natural;(770.00);35.00;35.00;(770.00);(22.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
07 أبريل 2025;Payable Credit Note;MP 2422;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural;(700.00);35.00;35.00;(700.00);(20.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
07 أبريل 2025;Payable Credit Note;MP 2424;سند صرف قهوه محموصه فرع التخصصي;Rosted Beanes Burundi Natural;(350.00);35.00;35.00;(350.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
09 أبريل 2025;Receivable Invoice;INV-3500;مؤسسة الصويا التجارية;Rosted Beanes Burundi Natural;(4,200.00);34.77;84.00;(1,738.42);(50.0000);49.23;202 - مبيعات القهوة المحمصه;636 - مخزون البن المحمص
10 أبريل 2025;Payable Invoice;7209;تحميص وارد لمستودع البن المحمص;Rosted Beanes Burundi Natural;11,504.99;34.86;0.00;11,504.99;330.0000;0.00;;636 - مخزون البن المحمص
13 أبريل 2025;Payable Credit Note;MP 2427;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural;(700.00);35.00;35.00;(700.00);(20.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
13 أبريل 2025;Payable Credit Note;MP ;سند صرف قهوه محموصه فرع حطين;Rosted Beanes Burundi Natural;(770.00);35.00;35.00;(770.00);(22.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
13 أبريل 2025;Payable Credit Note;MP 2431;سند صرف قهوه محموصه فرع واو;Rosted Beanes Burundi Natural;(175.00);35.00;35.00;(175.00);(5.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
15 أبريل 2025;Receivable Invoice;INV-3533;مؤسسة مكيث لتقديم المشروبات;Rosted Beanes Burundi Natural;(2,220.00);34.76;74.00;(1,042.66);(30.0000);39.24;202 - مبيعات القهوة المحمصه;636 - مخزون البن المحمص
17 أبريل 2025;Payable Credit Note;MP 2437;سند صرف قهوه محموصه فرع رفا;Rosted Beanes Burundi Natural;(350.00);35.00;35.00;(350.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
17 أبريل 2025;Payable Credit Note;MP 2438;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural;(350.00);35.00;35.00;(350.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
20 أبريل 2025;Payable Credit Note;MP 2444;سند صرف قهوه محموصه فرع حطين;Rosted Beanes Burundi Natural;(945.00);35.00;35.00;(945.00);(27.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
20 أبريل 2025;Payable Credit Note;MP 2442;سند صرف قهوه محموصه فرع رفا;Rosted Beanes Burundi Natural 8 كيس;(70.00);35.00;35.00;(70.00);(2.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
20 أبريل 2025;Payable Credit Note;MP 2443;سند صرف قهوه محموصه فرع واو;Rosted Beanes Burundi Natural;(175.00);35.00;35.00;(175.00);(5.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
20 أبريل 2025;Payable Credit Note;MP 2440;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural;(350.00);35.00;35.00;(350.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
21 أبريل 2025;Receivable Invoice;INV-3573;مؤسسة مكيث لتقديم المشروبات;Rosted Beanes Burundi Natural;(3,700.00);34.74;74.00;(1,737.15);(50.0000);39.26;202 - مبيعات القهوة المحمصه;636 - مخزون البن المحمص
22 أبريل 2025;Payable Invoice;7212;تحميص وارد لمستودع البن المحمص;Rosted Beanes Burundi Natural;4,690.50;35.00;0.00;4,690.50;134.0000;0.00;;636 - مخزون البن المحمص
25 أبريل 2025;Payable Credit Note;MP 2447;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural;(700.00);35.00;35.00;(700.00);(20.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
25 أبريل 2025;Payable Credit Note;MP 2447;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural 4 كيس;(35.00);35.00;35.00;(35.00);(1.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
28 أبريل 2025;Payable Credit Note;MP 2454;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural;(350.00);35.00;35.00;(350.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
01 مايو 2025;Receivable Invoice;INV-3644;مؤسسة مكيث لتقديم المشروبات;Rosted Beanes Burundi Natural;(3,700.00);34.78;74.00;(1,739.09);(50.0000);39.22;202 - مبيعات القهوة المحمصه;636 - مخزون البن المحمص
03 مايو 2025;Payable Credit Note;MP 2458;سند صرف قهوه محموصه فرع رفا;Rosted Beanes Burundi Natural;(490.00);35.00;35.00;(490.00);(14.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
03 مايو 2025;Payable Credit Note;MP 2459;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural;(700.00);35.00;35.00;(700.00);(20.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
03 مايو 2025;Payable Credit Note;MP 2456;سند صرف قهوه محموصه فرع حطين;Rosted Beanes Burundi Natural;(1,435.00);35.00;35.00;(1,435.00);(41.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
07 مايو 2025;Payable Credit Note;MP 2465;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural;(525.00);35.00;35.00;(525.00);(15.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
07 مايو 2025;Payable Credit Note;MP 2462;سند صرف قهوه محموصه فرع التخصصي;Rosted Beanes Burundi Natural;(350.00);35.00;35.00;(350.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
07 مايو 2025;Payable Credit Note;MP 2467;سند صرف قهوه محموصه فرع واو;Rosted Beanes Burundi Natural;(350.00);35.00;35.00;(350.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
11 مايو 2025;Payable Credit Note;MP 2470;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural;(1,050.00);35.00;35.00;(1,050.00);(30.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
11 مايو 2025;Payable Credit Note;MP 2472;سند صرف قهوه محموصه فرع رفا;Rosted Beanes Burundi Natural;(350.00);35.00;35.00;(350.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
15 مايو 2025;Receivable Invoice;INV-3721;مؤسسة مكيث لتقديم المشروبات;Rosted Beanes Burundi Natural;(3,700.00);34.78;74.00;(1,739.15);(50.0000);39.22;202 - مبيعات القهوة المحمصه;636 - مخزون البن المحمص
17 مايو 2025;Payable Credit Note;MP 2477;سند صرف قهوه محموصه فرع واو;Rosted Beanes Burundi Natural;(350.00);35.00;35.00;(350.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
17 مايو 2025;Payable Credit Note;MP 2483;سند صرف قهوه محموصه فرع حطين;Rosted Beanes Burundi Natural;(1,680.00);35.00;35.00;(1,680.00);(48.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
17 مايو 2025;Payable Credit Note;MP 2480;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural;(875.00);35.00;35.00;(875.00);(25.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
17 مايو 2025;Payable Credit Note;MP 2480;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural 4كيس;(35.00);35.00;35.00;(35.00);(1.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
19 مايو 2025;Payable Invoice;7213;تحميص وارد لمستودع البن المحمص;Rosted Beanes Burundi Natural;8,260.00;35.00;0.00;8,260.00;236.0000;0.00;;636 - مخزون البن المحمص
20 مايو 2025;Receivable Invoice;INV-3736;مقى حبات كرزية لتقديم المشروبات;Rosted Beanes Burundi Natural;(1,500.00);34.78;100.00;(521.75);(15.0000);65.22;202 - مبيعات القهوة المحمصه;636 - مخزون البن المحمص
21 مايو 2025;Payable Credit Note;MP 2490;سند صرف قهوه محموصه فرع رفا;Rosted Beanes Burundi Natural;(350.00);35.00;35.00;(350.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
24 مايو 2025;Payable Credit Note;MP 2497;سند صرف قهوه محموصه فرع حطين;Rosted Beanes Burundi Natural;(700.00);35.00;35.00;(700.00);(20.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
24 مايو 2025;Payable Credit Note;MP 2496;سند صرف قهوه محموصه فرع واو;Rosted Beanes Burundi Natural;(175.00);35.00;35.00;(175.00);(5.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
26 مايو 2025;Payable Credit Note;MP 2499;سند صرف قهوه محموصه فرع رفا;Rosted Beanes Burundi Natural;(350.00);35.00;35.00;(350.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
26 مايو 2025;Payable Credit Note;MP 2500;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural;(350.00);35.00;35.00;(350.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
29 مايو 2025;Payable Credit Note;MP 2504;سند صرف قهوه محموصه فرع رفا;Rosted Beanes Burundi Natural 4 كيس;(35.00);35.00;35.00;(35.00);(1.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
29 مايو 2025;Payable Credit Note;MP 2505;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural;(525.00);35.00;35.00;(525.00);(15.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
31 مايو 2025;Payable Credit Note;MP 2508;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural;(175.00);35.00;35.00;(175.00);(5.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
31 مايو 2025;Payable Credit Note;MP 2509;سند صرف قهوه محموصه فرع حطين;Rosted Beanes Burundi Natural;(700.00);35.00;35.00;(700.00);(20.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
02 يونيو 2025;Payable Credit Note;MP 2510;سند صرف قهوه محموصه فرع التخصصي;Rosted Beanes Burundi Natural;(350.00);35.00;35.00;(350.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
03 يونيو 2025;Receivable Invoice;INV-3751;مؤسسة مكيث لتقديم المشروبات;Rosted Beanes Burundi Natural;(3,700.00);34.78;74.00;(1,739.00);(50.0000);39.22;202 - مبيعات القهوة المحمصه;636 - مخزون البن المحمص
03 يونيو 2025;Payable Credit Note;MP 2511;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural;(525.00);35.00;35.00;(525.00);(15.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
04 يونيو 2025;Payable Invoice;7215;تحميص وارد لمستودع البن المحمص;Rosted Beanes Burundi Natural;1,799.50;35.28;0.00;1,799.50;51.0000;0.00;;636 - مخزون البن المحمص
04 يونيو 2025;Payable Credit Note;MP 2515;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural;(525.00);35.00;35.00;(525.00);(15.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
09 يونيو 2025;Payable Credit Note;MP 2517;سند صرف قهوه محموصه فرع حطين;Rosted Beanes Burundi Natural;(980.00);35.00;35.00;(980.00);(28.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
11 يونيو 2025;Payable Credit Note;MP 2521;سند صرف قهوه محموصه فرع واو;Rosted Beanes Burundi Natural;(70.00);35.00;35.00;(70.00);(2.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
12 يونيو 2025;Payable Invoice;7216;تحميص وارد لمستودع البن المحمص;Rosted Beanes Burundi Natural;10,059.49;34.69;0.00;10,059.49;290.0000;0.00;;636 - مخزون البن المحمص
12 يونيو 2025;Payable Credit Note;MP 2524;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural;(350.00);35.00;35.00;(350.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
15 يونيو 2025;Payable Credit Note;MP 2531;سند صرف قهوه محموصه فرع حطين;Rosted Beanes Burundi Natural;(595.00);35.00;35.00;(595.00);(17.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
15 يونيو 2025;Payable Credit Note;MP 2527;سند صرف قهوه محموصه فرع الصحافة;Rosted Beanes Burundi Natural;(350.00);35.00;35.00;(350.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
16 يونيو 2025;Payable Credit Note;2534;سند صرف قهوه محموصه فرع رفا;Rosted Beanes Burundi Natural;(350.00);35.00;35.00;(350.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
